what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1432159047419
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1432159047575
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1432159047732
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1432159048169
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1432159052013
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1432159059239
executed,command,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.run",1432159060473
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1432159062741
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1432159075589
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1432159078076
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1432159083683
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1432159086089
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1432159143124
activated,editor,org.eclipse.wst.xml.ui,1.1.102.v201008251905,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1432159145723
activated,editor,org.eclipse.wst.jsdt.ui,1.1.2.v201009010353,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1432159148020
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1432159152036
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1432159156068
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1432159205104
opened,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1432159208727
activated,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1432159208821
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1432159212680
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1432159225616
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1432159230366
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1432159232319
