127.0.0.1 - - [08/Jun/2015:18:15:36 -0300] "GET / HTTP/1.1" 404 951
127.0.0.1 - - [08/Jun/2015:18:16:34 -0300] "GET /Economy/index.html HTTP/1.1" 304 -
127.0.0.1 - - [08/Jun/2015:18:16:35 -0300] "GET /Economy/css/style.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Jun/2015:18:16:37 -0300] "GET /favicon.ico HTTP/1.1" 404 973
127.0.0.1 - - [08/Jun/2015:18:16:37 -0300] "GET /favicon.ico HTTP/1.1" 404 973
127.0.0.1 - - [08/Jun/2015:18:16:46 -0300] "GET /Economy/html/novoLancamento.html HTTP/1.1" 304 -
127.0.0.1 - - [08/Jun/2015:18:16:46 -0300] "GET /Economy/css/novoLancamentoStyle.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Jun/2015:18:16:46 -0300] "GET /Economy/javascript/ajaxInit.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Jun/2015:18:16:46 -0300] "GET /Economy/javascript/novoLancamento.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Jun/2015:18:16:56 -0300] "GET /Economy/ServletCategory HTTP/1.1" 200 215
127.0.0.1 - - [08/Jun/2015:18:16:56 -0300] "GET /Economy/getSubcategories?select=2 HTTP/1.1" 200 130
127.0.0.1 - - [08/Jun/2015:18:17:10 -0300] "GET /Economy/html/relatorio.html HTTP/1.1" 304 -
127.0.0.1 - - [08/Jun/2015:18:17:11 -0300] "GET /Economy/css/relatorioStyle.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Jun/2015:18:17:11 -0300] "GET /Economy/javascript/relatorio.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Jun/2015:18:17:11 -0300] "GET /Economy/javascript/makeGraphic.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Jun/2015:18:17:11 -0300] "GET /Economy/ServletCategory HTTP/1.1" 200 215
127.0.0.1 - - [08/Jun/2015:18:17:49 -0300] "GET /Economy/ServletRelatory?dateStart=8/8/2014&dateEnd=7/8/2016&category=2 HTTP/1.1" 200 434
127.0.0.1 - - [08/Jun/2015:18:19:19 -0300] "GET /Economy/ServletRelatory?dateStart=8/8/2014&dateEnd=7/8/2016&category=2 HTTP/1.1" 200 434
127.0.0.1 - - [08/Jun/2015:18:19:40 -0300] "GET /Economy/html/relatorio.html HTTP/1.1" 304 -
127.0.0.1 - - [08/Jun/2015:18:19:40 -0300] "GET /Economy/css/relatorioStyle.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Jun/2015:18:19:40 -0300] "GET /Economy/javascript/ajaxInit.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Jun/2015:18:19:40 -0300] "GET /Economy/javascript/relatorio.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Jun/2015:18:19:40 -0300] "GET /Economy/javascript/makeGraphic.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Jun/2015:18:19:40 -0300] "GET /Economy/ServletCategory HTTP/1.1" 200 215
127.0.0.1 - - [08/Jun/2015:18:19:48 -0300] "GET /Economy/html/relatorio.html HTTP/1.1" 304 -
127.0.0.1 - - [08/Jun/2015:18:19:48 -0300] "GET /Economy/javascript/ajaxInit.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Jun/2015:18:19:48 -0300] "GET /Economy/css/relatorioStyle.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Jun/2015:18:19:48 -0300] "GET /Economy/javascript/makeGraphic.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Jun/2015:18:19:48 -0300] "GET /Economy/javascript/relatorio.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Jun/2015:18:19:49 -0300] "GET /Economy/ServletCategory HTTP/1.1" 200 215
127.0.0.1 - - [08/Jun/2015:18:19:52 -0300] "GET /Economy/html/relatorio.html HTTP/1.1" 200 1732
127.0.0.1 - - [08/Jun/2015:18:19:52 -0300] "GET /Economy/css/relatorioStyle.css HTTP/1.1" 200 931
127.0.0.1 - - [08/Jun/2015:18:19:52 -0300] "GET /Economy/javascript/ajaxInit.js HTTP/1.1" 200 318
127.0.0.1 - - [08/Jun/2015:18:19:52 -0300] "GET /Economy/javascript/relatorio.js HTTP/1.1" 200 1365
127.0.0.1 - - [08/Jun/2015:18:19:52 -0300] "GET /Economy/javascript/makeGraphic.js HTTP/1.1" 200 1199
127.0.0.1 - - [08/Jun/2015:18:19:52 -0300] "GET /Economy/ServletCategory HTTP/1.1" 200 215
127.0.0.1 - - [08/Jun/2015:18:20:02 -0300] "GET /Economy/ServletRelatory?dateStart=8/5/2014&dateEnd=7/8/2016&category=2 HTTP/1.1" 200 434
127.0.0.1 - - [08/Jun/2015:18:20:52 -0300] "GET /Economy/html/relatorio.html HTTP/1.1" 200 1732
127.0.0.1 - - [08/Jun/2015:18:20:52 -0300] "GET /Economy/css/relatorioStyle.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Jun/2015:18:20:52 -0300] "GET /Economy/javascript/ajaxInit.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Jun/2015:18:20:52 -0300] "GET /Economy/javascript/makeGraphic.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Jun/2015:18:20:52 -0300] "GET /Economy/javascript/relatorio.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Jun/2015:18:20:52 -0300] "GET /Economy/ServletCategory HTTP/1.1" 200 215
127.0.0.1 - - [08/Jun/2015:18:20:56 -0300] "GET /Economy/html/relatorio.html HTTP/1.1" 304 -
127.0.0.1 - - [08/Jun/2015:18:20:56 -0300] "GET /Economy/css/relatorioStyle.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Jun/2015:18:20:56 -0300] "GET /Economy/javascript/ajaxInit.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Jun/2015:18:20:56 -0300] "GET /Economy/javascript/relatorio.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Jun/2015:18:20:56 -0300] "GET /Economy/javascript/makeGraphic.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Jun/2015:18:20:56 -0300] "GET /Economy/ServletCategory HTTP/1.1" 200 215
127.0.0.1 - - [08/Jun/2015:18:24:54 -0300] "GET /Economy/html/relatorio.html HTTP/1.1" 200 1732
127.0.0.1 - - [08/Jun/2015:18:24:54 -0300] "GET /Economy/css/relatorioStyle.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Jun/2015:18:24:55 -0300] "GET /Economy/javascript/ajaxInit.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Jun/2015:18:24:56 -0300] "GET /Economy/javascript/relatorio.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Jun/2015:18:24:56 -0300] "GET /Economy/javascript/makeGraphic.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Jun/2015:18:24:57 -0300] "GET /favicon.ico HTTP/1.1" 404 973
127.0.0.1 - - [08/Jun/2015:18:24:57 -0300] "GET /Economy/ServletCategory HTTP/1.1" 200 215
127.0.0.1 - - [08/Jun/2015:18:25:58 -0300] "GET /Economy/ServletRelatory?dateStart=11/06/2014&dateEnd=03/06/2016&category=2 HTTP/1.1" 200 434
127.0.0.1 - - [08/Jun/2015:18:32:26 -0300] "GET /Economy/html/relatorio.html HTTP/1.1" 304 -
127.0.0.1 - - [08/Jun/2015:18:32:26 -0300] "GET /Economy/css/relatorioStyle.css HTTP/1.1" 304 -
